status_of_existing_checking_account,duration_in_month,credit_history,purpose,credit_amount,savings_account_and_bonds,present_employment_since,installment_rate_in_percentage_of_disposable_income,personal_status_and_sex,other_debtors_or_guarantors,present_residence_since,property,age_in_years,other_installment_plans,housing,number_of_existing_credits_at_this_bank,job,number_of_people_being_liable_to_provide_maintenance_for,telephone,target
11,6,34,A43,1169,65,75,4,A93,A101,4,A121,63.0,A143,A152,2,173,1,A192,0
12,48,32,A43,5951,61,73,2,A92,A101,2,A121,22.0,A143,A152,1,173,1,A191,1
14,12,34,A46,2096,61,74,2,A93,A101,3,A121,49.0,A143,A152,1,172,2,A191,0
11,42,32,A42,7882,61,74,2,A93,A103,4,A122,45.0,A143,A153,1,173,2,A191,0
11,24,33,A40,4870,61,73,3,A93,A101,4,A124,53.0,A143,A153,2,173,2,A191,1
14,36,32,A46,9055,65,73,2,A93,A101,4,A124,35.0,A143,A153,1,172,2,A192,0
14,24,32,A42,2835,63,75,3,A93,A101,4,A122,53.0,A143,A152,1,173,1,A191,0
12,36,32,A41,6948,61,73,2,A93,A101,2,A123,35.0,A143,A151,1,174,1,A192,0
14,12,32,A43,3059,64,74,2,A91,A101,4,A121,61.0,A143,A152,1,172,1,A191,0
12,30,34,A40,5234,61,71,4,A94,A101,2,A123,28.0,A143,A152,2,174,1,A191,1
12,12,32,A40,1295,61,72,3,A92,A101,1,A123,25.0,A143,A151,1,173,1,A191,1
11,48,32,A49,4308,61,72,3,A92,A101,4,A122,24.0,A143,A151,1,173,1,A191,1
12,12,32,A43,1567,61,73,1,A92,A101,1,A123,22.0,A143,A152,1,173,1,A192,0
11,24,34,A40,1199,61,75,4,A93,A101,4,A123,60.0,A143,A152,2,172,1,A191,1
11,15,32,A40,1403,61,73,2,A92,A101,4,A123,28.0,A143,A151,1,173,1,A191,0
11,24,32,A43,1282,62,73,4,A92,A101,2,A123,32.0,A143,A152,1,172,1,A191,1
14,24,34,A43,2424,65,75,4,A93,A101,4,A122,53.0,A143,A152,2,173,1,A191,0
11,30,30,A49,8072,65,72,2,A93,A101,3,A123,25.0,A141,A152,3,173,1,A191,0
12,24,32,A41,12579,61,75,4,A92,A101,2,A124,44.0,A143,A153,1,174,1,A192,1
14,24,32,A43,3430,63,75,3,A93,A101,2,A123,31.0,A143,A152,1,173,2,A192,0
14,9,34,A40,2134,61,73,4,A93,A101,4,A123,48.0,A143,A152,3,173,1,A192,0
11,6,32,A43,2647,63,73,2,A93,A101,3,A121,44.0,A143,A151,1,173,2,A191,0
11,10,34,A40,2241,61,72,1,A93,A101,3,A121,48.0,A143,A151,2,172,2,A191,0
12,12,34,A41,1804,62,72,3,A93,A101,4,A122,44.0,A143,A152,1,173,1,A191,0
14,10,34,A42,2069,65,73,2,A94,A101,1,A123,26.0,A143,A152,2,173,1,A191,0
11,6,32,A42,1374,61,73,1,A93,A101,2,A121,36.0,A141,A152,1,172,1,A192,0
14,6,30,A43,426,61,75,4,A94,A101,4,A123,39.0,A143,A152,1,172,1,A191,0
13,12,31,A43,409,64,73,3,A92,A101,3,A121,42.0,A143,A151,2,173,1,A191,0
12,7,32,A43,2415,61,73,3,A93,A103,2,A121,34.0,A143,A152,1,173,1,A191,0
11,60,33,A49,6836,61,75,3,A93,A101,4,A124,63.0,A143,A152,2,173,1,A192,1
12,18,32,A49,1913,64,72,3,A94,A101,3,A121,36.0,A141,A152,1,173,1,A192,0
11,24,32,A42,4020,61,73,2,A93,A101,2,A123,27.0,A142,A152,1,173,1,A191,0
12,18,32,A40,5866,62,73,2,A93,A101,2,A123,30.0,A143,A152,2,173,1,A192,0
14,12,34,A49,1264,65,75,4,A93,A101,4,A124,57.0,A143,A151,1,172,1,A191,0
13,12,32,A42,1474,61,72,4,A92,A101,1,A122,33.0,A141,A152,1,174,1,A192,0
12,45,34,A43,4746,61,72,4,A93,A101,2,A122,25.0,A143,A152,2,172,1,A191,1
14,48,34,A46,6110,61,73,1,A93,A101,3,A124,31.0,A141,A153,1,173,1,A192,0
13,18,32,A43,2100,61,73,4,A93,A102,2,A121,37.0,A142,A152,1,173,1,A191,1
13,10,32,A44,1225,61,73,2,A93,A101,2,A123,37.0,A143,A152,1,173,1,A192,0
12,9,32,A43,458,61,73,4,A93,A101,3,A121,24.0,A143,A152,1,173,1,A191,0
14,30,32,A43,2333,63,75,4,A93,A101,2,A123,30.0,A141,A152,1,174,1,A191,0
12,12,32,A43,1158,63,73,3,A91,A101,1,A123,26.0,A143,A152,1,173,1,A192,0
12,18,33,A45,6204,61,73,2,A93,A101,4,A121,44.0,A143,A152,1,172,2,A192,0
11,30,34,A41,6187,62,74,1,A94,A101,4,A123,24.0,A143,A151,2,173,1,A191,0
11,48,34,A41,6143,61,75,4,A92,A101,4,A124,58.0,A142,A153,2,172,1,A191,1
14,11,34,A40,1393,61,72,4,A92,A101,4,A123,35.0,A143,A152,2,174,1,A191,0
14,36,32,A43,2299,63,75,4,A93,A101,4,A123,39.0,A143,A152,1,173,1,A191,0
11,6,32,A41,1352,63,71,1,A92,A101,2,A122,23.0,A143,A151,1,171,1,A192,0
14,11,34,A40,7228,61,73,1,A93,A101,4,A122,39.0,A143,A152,2,172,1,A191,0
14,12,32,A43,2073,62,73,4,A92,A102,2,A121,28.0,A143,A152,1,173,1,A191,0
12,24,33,A42,2333,65,72,4,A93,A101,2,A122,29.0,A141,A152,1,172,1,A191,0
12,27,33,A41,5965,61,75,1,A93,A101,2,A123,30.0,A143,A152,2,174,1,A192,0
14,12,32,A43,1262,61,73,3,A93,A101,2,A123,25.0,A143,A152,1,173,1,A191,0
14,18,32,A41,3378,65,73,2,A93,A101,1,A122,31.0,A143,A152,1,173,1,A192,0
12,36,33,A40,2225,61,75,4,A93,A101,4,A124,57.0,A141,A153,2,173,1,A192,1
14,6,31,A40,783,65,73,1,A93,A103,2,A121,26.0,A142,A152,1,172,2,A191,0
12,12,32,A43,6468,65,71,2,A93,A101,1,A124,52.0,A143,A152,1,174,1,A192,1
14,36,34,A43,9566,61,73,2,A92,A101,2,A123,31.0,A142,A152,2,173,1,A191,0
13,18,32,A40,1961,61,75,3,A92,A101,2,A123,23.0,A143,A152,1,174,1,A191,0
11,36,34,A42,6229,61,72,4,A92,A102,4,A124,23.0,A143,A151,2,172,1,A192,1
12,9,32,A49,1391,61,73,2,A94,A101,1,A121,27.0,A141,A152,1,173,1,A192,0
12,15,34,A43,1537,65,75,4,A93,A103,4,A121,50.0,A143,A152,2,173,1,A192,0
12,36,30,A49,1953,61,75,4,A93,A101,4,A124,61.0,A143,A153,1,174,1,A192,1
12,48,30,A49,14421,61,73,2,A93,A101,2,A123,25.0,A143,A152,1,173,1,A192,1
14,24,32,A43,3181,61,72,4,A92,A101,4,A122,26.0,A143,A152,1,173,1,A192,0
14,27,32,A45,5190,65,75,4,A93,A101,4,A122,48.0,A143,A152,4,173,2,A192,0
14,12,32,A43,2171,61,72,2,A92,A101,2,A123,29.0,A141,A152,1,173,1,A191,0
12,12,32,A40,1007,64,73,4,A94,A101,1,A121,22.0,A143,A152,1,173,1,A191,0
14,36,32,A46,1819,61,73,4,A93,A101,4,A124,37.0,A142,A153,1,173,1,A192,1
14,36,32,A43,2394,65,73,4,A92,A101,4,A123,25.0,A143,A152,1,173,1,A191,0
14,36,32,A41,8133,61,73,1,A92,A101,2,A122,30.0,A141,A152,1,173,1,A191,0
14,7,34,A43,730,65,75,4,A93,A101,2,A122,46.0,A143,A151,2,172,1,A192,0
11,8,34,A410,1164,61,75,3,A93,A101,4,A124,51.0,A141,A153,2,174,2,A192,0
12,42,34,A49,5954,61,74,2,A92,A101,1,A121,41.0,A141,A152,2,172,1,A191,0
11,36,32,A46,1977,65,75,4,A93,A101,4,A124,40.0,A143,A152,1,174,1,A192,1
11,12,34,A41,1526,61,75,4,A93,A101,4,A124,63.0,A143,A153,2,174,1,A191,0
11,42,32,A43,3965,61,72,4,A93,A101,3,A123,34.0,A143,A152,1,173,1,A191,1
12,11,33,A43,4771,61,74,2,A93,A101,4,A122,51.0,A143,A152,1,173,1,A191,0
14,54,30,A41,9436,65,73,2,A93,A101,2,A122,39.0,A143,A152,1,172,2,A191,0
12,30,32,A42,3832,61,72,2,A94,A101,1,A122,22.0,A143,A152,1,173,1,A191,0
14,24,32,A43,5943,65,72,1,A92,A101,1,A123,44.0,A143,A152,2,173,1,A192,1
14,15,32,A43,1213,63,75,4,A93,A101,3,A122,47.0,A142,A152,1,173,1,A192,0
14,18,32,A49,1568,62,73,3,A92,A101,4,A122,24.0,A143,A151,1,172,1,A191,0
11,24,32,A410,1755,61,75,4,A92,A103,4,A121,58.0,A143,A152,1,172,1,A192,0
11,10,32,A43,2315,61,75,3,A93,A101,4,A121,52.0,A143,A152,1,172,1,A191,0
14,12,34,A49,1412,61,73,4,A92,A103,2,A121,29.0,A143,A152,2,174,1,A192,0
12,18,34,A42,1295,61,72,4,A92,A101,1,A122,27.0,A143,A152,2,173,1,A191,0
12,36,32,A46,12612,62,73,1,A93,A101,4,A124,47.0,A143,A153,1,173,2,A192,1
11,18,32,A40,2249,62,74,4,A93,A101,3,A123,30.0,A143,A152,1,174,2,A192,0
11,12,30,A45,1108,61,74,4,A93,A101,3,A121,28.0,A143,A152,2,173,1,A191,1
14,12,34,A43,618,61,75,4,A93,A101,4,A121,56.0,A143,A152,1,173,1,A191,0
11,12,34,A41,1409,61,75,4,A93,A101,3,A121,54.0,A143,A152,1,173,1,A191,0
14,12,34,A43,797,65,75,4,A92,A101,3,A122,33.0,A141,A152,1,172,2,A191,1
13,24,34,A42,3617,65,75,4,A93,A102,4,A124,22.0,A143,A151,2,173,1,A191,0
12,12,32,A40,1318,64,75,4,A93,A101,4,A121,54.0,A143,A152,1,173,1,A192,0
12,54,30,A49,15945,61,72,3,A93,A101,4,A124,58.0,A143,A151,1,173,1,A192,1
14,12,34,A46,2012,65,74,4,A92,A101,2,A123,61.0,A143,A152,1,173,1,A191,0
12,18,32,A49,2622,62,73,4,A93,A101,4,A123,34.0,A143,A152,1,173,1,A191,0
12,36,34,A43,2337,61,75,4,A93,A101,4,A121,36.0,A143,A152,1,173,1,A191,0
12,20,33,A41,7057,65,74,3,A93,A101,4,A122,36.0,A141,A151,2,174,2,A192,0
14,24,32,A40,1469,62,75,4,A94,A101,4,A121,41.0,A143,A151,1,172,1,A191,0
12,36,32,A43,2323,61,74,4,A93,A101,4,A123,24.0,A143,A151,1,173,1,A191,0
14,6,33,A43,932,61,73,3,A92,A101,2,A121,24.0,A143,A152,1,173,1,A191,0
12,9,34,A42,1919,61,74,4,A93,A101,3,A123,35.0,A143,A151,1,173,1,A192,0
14,12,32,A41,2445,65,72,2,A94,A101,4,A123,26.0,A143,A151,1,173,1,A192,0
12,24,34,A410,11938,61,73,2,A93,A102,3,A123,39.0,A143,A152,2,174,2,A192,1
14,18,31,A40,6458,61,75,2,A93,A101,4,A124,39.0,A141,A152,2,174,2,A192,1
12,12,32,A40,6078,61,74,2,A93,A101,2,A123,32.0,A143,A152,1,173,1,A191,0
11,24,32,A42,7721,65,72,1,A92,A101,2,A122,30.0,A143,A152,1,173,1,A192,0
12,14,32,A49,1410,63,75,1,A94,A101,2,A121,35.0,A143,A152,1,173,1,A192,0
12,6,33,A49,1449,62,75,1,A91,A101,2,A123,31.0,A141,A152,2,173,2,A191,0
13,15,32,A46,392,61,72,4,A92,A101,4,A122,23.0,A143,A151,1,173,1,A192,0
12,18,32,A40,6260,61,74,3,A93,A101,3,A121,28.0,A143,A151,1,172,1,A191,0
14,36,34,A40,7855,61,73,4,A92,A101,2,A121,25.0,A142,A152,2,173,1,A192,1
11,12,32,A43,1680,63,75,3,A94,A101,1,A121,35.0,A143,A152,1,173,1,A191,0
14,48,34,A43,3578,65,75,4,A93,A101,1,A121,47.0,A143,A152,1,173,1,A192,0
11,42,32,A43,7174,65,74,4,A92,A101,3,A123,30.0,A143,A152,1,174,1,A192,1
11,10,34,A42,2132,65,72,2,A92,A102,3,A121,27.0,A143,A151,2,173,1,A191,0
11,33,34,A42,4281,63,73,1,A92,A101,4,A123,23.0,A143,A152,2,173,1,A191,1
12,12,34,A40,2366,63,74,3,A91,A101,3,A123,36.0,A143,A152,1,174,1,A192,0
11,21,32,A43,1835,61,73,3,A92,A101,2,A121,25.0,A143,A152,2,173,1,A192,1
14,24,34,A41,3868,61,75,4,A92,A101,2,A123,41.0,A143,A151,2,174,1,A192,0
14,12,32,A42,1768,61,73,3,A93,A101,2,A121,24.0,A143,A151,1,172,1,A191,0
13,10,34,A40,781,61,75,4,A93,A101,4,A124,63.0,A143,A153,2,173,1,A192,0
12,18,32,A42,1924,65,72,4,A92,A101,3,A121,27.0,A143,A151,1,173,1,A191,1
11,12,34,A40,2121,61,73,4,A93,A101,2,A122,30.0,A143,A152,2,173,1,A191,0
11,12,32,A43,701,61,73,4,A94,A101,2,A121,40.0,A143,A152,1,172,1,A191,0
12,12,32,A45,639,61,73,4,A93,A101,2,A123,30.0,A143,A152,1,173,1,A191,1
12,12,34,A41,1860,61,71,4,A93,A101,2,A123,34.0,A143,A152,2,174,1,A192,0
11,12,34,A40,3499,61,73,3,A92,A102,2,A121,29.0,A143,A152,2,173,1,A191,1
12,48,32,A40,8487,65,74,1,A92,A101,2,A123,24.0,A143,A152,1,173,1,A191,0
11,36,33,A46,6887,61,73,4,A93,A101,3,A122,29.0,A142,A152,1,173,1,A192,1
14,15,32,A42,2708,61,72,2,A93,A101,3,A122,27.0,A141,A152,2,172,1,A191,0
14,18,32,A42,1984,61,73,4,A93,A101,4,A124,47.0,A141,A153,2,173,1,A191,0
14,60,32,A43,10144,62,74,2,A92,A101,4,A121,22.0,A143,A152,1,173,1,A192,0
14,12,34,A43,1240,65,75,4,A92,A101,2,A121,38.0,A143,A152,2,173,1,A192,0
14,27,33,A41,8613,64,73,2,A93,A101,2,A123,27.0,A143,A152,2,173,1,A191,0
12,12,32,A43,766,63,73,4,A93,A101,3,A121,63.0,A143,A152,1,172,1,A191,1
12,15,34,A43,2728,65,74,4,A93,A103,2,A121,35.0,A141,A152,3,173,1,A192,0
13,12,32,A43,1881,61,73,2,A92,A101,2,A123,44.0,A143,A151,1,172,1,A192,0
13,6,32,A40,709,64,72,2,A94,A101,2,A121,27.0,A143,A152,1,171,1,A191,0
12,36,32,A43,4795,61,72,4,A92,A101,1,A124,30.0,A143,A152,1,174,1,A192,0
11,27,32,A43,3416,61,73,3,A93,A101,2,A123,27.0,A143,A152,1,174,1,A191,0
11,18,32,A42,2462,61,73,2,A93,A101,2,A123,22.0,A143,A152,1,173,1,A191,1
14,21,34,A42,2288,61,72,4,A92,A101,4,A122,23.0,A143,A152,1,173,1,A192,0
12,48,31,A49,3566,62,74,4,A93,A101,2,A123,30.0,A143,A152,1,173,1,A191,0
11,6,34,A40,860,61,75,1,A92,A101,4,A124,39.0,A143,A152,2,173,1,A192,0
14,12,34,A40,682,62,74,4,A92,A101,3,A123,51.0,A143,A152,2,173,1,A192,0
11,36,34,A42,5371,61,73,3,A93,A103,2,A122,28.0,A143,A152,2,173,1,A191,0
14,18,34,A43,1582,64,75,4,A93,A101,4,A123,46.0,A143,A152,2,173,1,A191,0
14,6,32,A43,1346,62,75,2,A93,A101,4,A124,42.0,A141,A153,1,173,2,A192,0
14,10,32,A43,1924,61,73,1,A93,A101,4,A122,38.0,A143,A152,1,173,1,A192,0
13,36,32,A43,5848,61,73,4,A93,A101,1,A123,24.0,A143,A152,1,173,1,A191,0
12,24,34,A41,7758,64,75,2,A92,A101,4,A124,29.0,A143,A151,1,173,1,A191,0
12,24,33,A49,6967,62,74,4,A93,A101,4,A123,36.0,A143,A151,1,174,1,A192,0
11,12,32,A42,1282,61,73,2,A92,A101,4,A123,22.0,A143,A151,1,173,1,A191,1
11,9,34,A45,1288,62,75,3,A93,A103,4,A121,48.0,A143,A152,2,173,2,A191,0
11,12,31,A48,339,61,75,4,A94,A101,1,A123,45.0,A141,A152,1,172,1,A191,0
12,24,32,A40,3512,62,74,2,A93,A101,3,A123,38.0,A141,A152,2,173,1,A192,0
14,6,34,A43,1898,65,73,1,A93,A101,2,A121,34.0,A143,A152,2,172,2,A191,0
14,24,34,A43,2872,62,75,3,A93,A101,4,A121,36.0,A143,A152,1,173,2,A192,0
14,18,34,A40,1055,61,72,4,A92,A101,1,A122,30.0,A143,A152,2,173,1,A191,0
14,15,32,A44,1262,63,74,4,A93,A101,3,A122,36.0,A143,A152,2,173,1,A192,0
12,10,32,A40,7308,61,71,2,A93,A101,4,A124,63.0,A141,A153,1,174,1,A192,0
14,36,32,A40,909,63,75,4,A93,A101,4,A122,36.0,A143,A152,1,173,1,A191,0
14,6,32,A42,2978,63,73,1,A93,A101,2,A123,32.0,A143,A152,1,173,1,A192,0
11,18,32,A42,1131,61,71,4,A92,A101,2,A123,33.0,A143,A152,1,173,1,A191,1
12,11,32,A42,1577,64,72,4,A92,A101,1,A121,22.0,A143,A152,1,173,1,A191,0
14,24,32,A42,3972,61,74,2,A92,A101,4,A122,25.0,A143,A151,1,173,1,A192,0
12,24,34,A49,1935,61,75,4,A91,A101,4,A121,31.0,A143,A152,2,173,1,A192,1
11,15,30,A40,950,61,75,4,A93,A101,3,A123,33.0,A143,A151,2,173,2,A191,1
14,12,32,A42,763,61,73,4,A92,A101,1,A121,26.0,A143,A152,1,173,1,A192,0
12,24,33,A42,2064,61,71,3,A92,A101,2,A122,34.0,A143,A152,1,174,1,A192,1
12,8,32,A43,1414,61,73,4,A93,A103,2,A121,33.0,A143,A152,1,173,1,A191,0
11,21,33,A46,3414,61,72,2,A93,A101,1,A122,26.0,A143,A152,2,173,1,A191,1
14,30,31,A41,7485,65,71,4,A92,A101,1,A121,53.0,A141,A152,1,174,1,A192,1
11,12,32,A42,2577,61,73,2,A91,A101,1,A123,42.0,A143,A152,1,173,1,A191,0
11,6,34,A43,338,63,75,4,A93,A101,4,A123,52.0,A143,A152,2,173,1,A191,0
14,12,32,A43,1963,61,74,4,A93,A101,2,A123,31.0,A143,A151,2,174,2,A192,0
11,21,34,A40,571,61,75,4,A93,A101,4,A121,63.0,A143,A152,2,173,1,A191,0
14,36,33,A49,9572,61,72,1,A91,A101,1,A123,28.0,A143,A152,2,173,1,A191,1
12,36,33,A49,4455,61,73,2,A91,A101,2,A121,30.0,A142,A152,2,174,1,A192,1
11,21,31,A40,1647,65,73,4,A93,A101,2,A122,40.0,A143,A152,2,172,2,A191,1
14,24,34,A42,3777,64,73,4,A93,A101,4,A121,50.0,A143,A152,1,173,1,A192,0
12,18,34,A40,884,61,75,4,A93,A101,4,A123,36.0,A141,A152,1,173,2,A192,1
14,15,34,A43,1360,61,73,4,A93,A101,2,A122,31.0,A143,A152,2,173,1,A191,0
12,9,31,A41,5129,61,75,2,A92,A101,4,A124,63.0,A141,A153,1,174,2,A192,1
12,16,34,A40,1175,61,71,2,A93,A101,3,A123,63.0,A143,A153,3,171,1,A192,0
11,12,32,A43,674,62,74,4,A94,A101,1,A122,22.0,A143,A152,1,173,1,A191,1
12,18,30,A42,3244,61,73,1,A92,A101,4,A123,33.0,A141,A152,2,173,1,A192,0
14,24,32,A49,4591,64,73,2,A93,A101,3,A122,54.0,A143,A152,3,174,1,A192,1
12,48,30,A49,3844,62,74,4,A93,A101,4,A124,34.0,A143,A153,1,172,2,A191,1
12,27,32,A49,3915,61,73,4,A93,A101,2,A123,36.0,A143,A152,1,173,2,A192,1
14,6,32,A43,2108,61,74,2,A94,A101,2,A121,29.0,A143,A151,1,173,1,A191,0
12,45,32,A43,3031,62,73,4,A93,A103,4,A122,22.0,A143,A151,1,173,1,A191,1
12,9,34,A46,1501,61,75,2,A92,A101,3,A123,34.0,A143,A152,2,174,1,A192,1
14,6,34,A43,1382,61,73,1,A92,A101,1,A123,28.0,A143,A152,2,173,1,A192,0
12,12,32,A42,951,62,72,4,A92,A101,4,A123,27.0,A141,A151,4,173,1,A191,1
12,24,32,A41,2760,65,75,4,A93,A101,4,A124,36.0,A141,A153,1,173,1,A192,0
12,18,33,A42,4297,61,75,4,A91,A101,3,A124,40.0,A143,A152,1,174,1,A192,1
14,9,34,A46,936,63,75,4,A93,A101,2,A123,52.0,A143,A152,2,173,1,A192,0
11,12,32,A40,1168,61,73,4,A94,A101,3,A121,27.0,A143,A152,1,172,1,A191,0
14,27,33,A49,5117,61,74,3,A93,A101,4,A123,26.0,A143,A152,2,173,1,A191,0
11,12,32,A48,902,61,74,4,A94,A101,4,A122,22.0,A143,A151,1,173,1,A191,1
14,12,34,A40,1495,61,75,4,A93,A101,1,A121,38.0,A143,A152,2,172,2,A191,0
11,30,34,A41,10623,61,75,3,A93,A101,4,A124,38.0,A143,A153,3,174,2,A192,0
14,12,34,A42,1935,61,75,4,A93,A101,4,A121,43.0,A143,A152,3,173,1,A192,0
12,12,34,A44,1424,61,74,4,A93,A101,3,A122,26.0,A143,A152,1,173,1,A191,0
11,24,32,A49,6568,61,73,2,A94,A101,2,A123,22.0,A142,A152,1,172,1,A191,0
14,12,32,A41,1413,64,74,3,A93,A101,2,A122,55.0,A143,A152,1,173,1,A191,0
14,9,34,A43,3074,65,73,1,A93,A101,2,A121,33.0,A143,A152,2,173,2,A191,0
14,36,32,A43,3835,65,75,2,A92,A101,4,A121,45.0,A143,A152,1,172,1,A192,0
11,27,30,A49,5293,61,71,2,A93,A101,4,A122,50.0,A142,A152,2,173,1,A192,1
13,30,33,A49,1908,61,75,4,A93,A101,4,A121,63.0,A143,A152,1,174,1,A192,1
14,36,34,A43,3342,65,75,4,A93,A101,2,A123,51.0,A143,A152,1,173,1,A192,0
12,6,34,A48,932,65,74,1,A92,A101,3,A122,39.0,A143,A152,2,172,1,A191,0
11,18,30,A49,3104,61,74,3,A93,A101,1,A122,31.0,A141,A152,1,173,1,A192,0
13,36,32,A43,3913,61,73,2,A93,A101,2,A121,23.0,A143,A152,1,173,1,A192,0
11,24,32,A42,3021,61,73,2,A91,A101,2,A121,24.0,A143,A151,1,172,1,A191,0
14,10,32,A40,1364,61,73,2,A92,A101,4,A123,63.0,A143,A152,1,173,1,A192,0
12,12,32,A43,625,61,72,4,A94,A103,1,A121,26.0,A141,A152,1,172,1,A191,0
11,12,32,A46,1200,65,73,4,A92,A101,4,A122,23.0,A141,A151,1,173,1,A192,0
14,12,32,A43,707,61,73,4,A93,A101,2,A121,30.0,A141,A152,2,173,1,A191,0
14,24,33,A49,2978,65,73,4,A93,A101,4,A121,32.0,A143,A152,2,173,2,A192,0
14,15,32,A41,4657,61,73,3,A93,A101,2,A123,30.0,A143,A152,1,173,1,A192,0
14,36,30,A45,2613,61,73,4,A93,A101,2,A123,27.0,A143,A152,2,173,1,A191,0
12,48,32,A43,10961,64,74,1,A93,A102,2,A124,27.0,A141,A152,2,173,1,A192,1
11,12,32,A42,7865,61,75,4,A93,A101,4,A124,53.0,A143,A153,1,174,1,A192,1
14,9,32,A43,1478,61,74,4,A93,A101,2,A123,22.0,A143,A152,1,173,1,A191,1
11,24,32,A42,3149,61,72,4,A93,A101,1,A124,22.0,A141,A153,1,173,1,A191,0
13,36,32,A43,4210,61,73,4,A93,A101,2,A123,26.0,A143,A152,1,173,1,A191,1
14,9,32,A40,2507,63,75,2,A93,A101,4,A124,51.0,A143,A153,1,172,1,A191,0
14,12,32,A43,2141,62,74,3,A93,A101,1,A124,35.0,A143,A152,1,173,1,A191,0
12,18,32,A43,866,61,73,4,A94,A103,2,A121,25.0,A143,A152,1,172,1,A191,0
14,4,34,A43,1544,61,74,2,A93,A101,1,A121,42.0,A143,A152,3,172,2,A191,0
11,24,32,A43,1823,61,71,4,A93,A101,2,A123,30.0,A142,A152,1,174,2,A191,1
12,6,32,A40,14555,65,71,1,A93,A101,2,A122,23.0,A143,A152,1,171,1,A192,1
12,21,32,A49,2767,62,75,4,A91,A101,2,A123,61.0,A141,A151,2,172,1,A191,1
14,12,34,A43,1291,61,73,4,A92,A101,2,A122,35.0,A143,A152,2,173,1,A191,0
11,30,32,A43,2522,61,75,1,A93,A103,3,A122,39.0,A143,A152,1,173,2,A191,0
11,24,32,A40,915,65,75,4,A92,A101,2,A123,29.0,A141,A152,1,173,1,A191,1
14,6,32,A43,1595,61,74,3,A93,A101,2,A122,51.0,A143,A152,1,173,2,A191,0
11,48,30,A41,4605,61,75,3,A93,A101,4,A124,24.0,A143,A153,2,173,2,A191,1
14,12,34,A49,1185,61,73,3,A92,A101,2,A121,27.0,A143,A152,2,173,1,A191,0
14,12,31,A48,3447,63,73,4,A92,A101,3,A121,35.0,A143,A152,1,172,2,A191,0
